Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Web Search Verification
"SaffronStays Milton Abbott Estate, Ooty",,080 6916 0000,,4.5,171,Unknown,"https://www.google.com/maps/place/SaffronStays+Milton+Abbott+Estate,+Ooty/data=!4m10!3m9!1s0x3ba8bd71c6433c29:0x9945be4f0ede0faf!5m2!4m1!1i2!8m2!3d11.4150062!4d76.6770542!16s%2Fg%2F11c6lsyq84!19sChIJKTxDxnG9qDsRrw_eDk--RZk?authuser=0&hl=en&rclk=1",no matching own-domain result in top results (checked 2x)
Greenyards Cottages,,089033 31339,,4.0,607,Unknown,https://www.google.com/maps/place/Greenyards+Cottages/data=!4m10!3m9!1s0x3ba8bdedc5a14209:0x96202d7bcaa0d3b8!5m2!4m1!1i2!8m2!3d11.4148613!4d76.7156813!16s%2Fg%2F11c5099pqy!19sChIJCUKhxe29qDsRuNOgynstIJY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Albisville-hilltop mansions,,090618 86885,,4.2,252,Unknown,https://www.google.com/maps/place/Albisville-hilltop+mansions/data=!4m10!3m9!1s0x3ba8976a6e981229:0xd2f48f12250ade08!5m2!4m1!1i2!8m2!3d11.3950833!4d76.6977736!16s%2Fg%2F11f5_hxpmz!19sChIJKRKYbmqXqDsRCN4KJRKP9NI?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
AURORA LIGHT RESIDENCY,,094430 42553,,4.0,406,Unknown,https://www.google.com/maps/place/AURORA+LIGHT+RESIDENCY/data=!4m10!3m9!1s0x3ba8bdf57868e43f:0x5bd6cfc0eff14a9f!5m2!4m1!1i2!8m2!3d11.4022976!4d76.7133636!16s%2Fg%2F11b61rx7bk!19sChIJP-RoePW9qDsRn0rx78DP1ls?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
THE BOWERS CHALET,,078250 52505,,4.2,1023,Unknown,https://www.google.com/maps/place/THE+BOWERS+CHALET/data=!4m10!3m9!1s0x3ba8bdbfa760a88f:0x2e870a7b43c9988e!5m2!4m1!1i2!8m2!3d11.4660958!4d76.704856!16s%2Fg%2F11h5_t8860!19sChIJj6hgp7-9qDsRjpjJQ3sKhy4?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Hotel Bluebird,,0423 244 4465,,3.5,165,Unknown,https://www.google.com/maps/place/Hotel+Bluebird/data=!4m10!3m9!1s0x3ba8bdc3954f99f5:0x39ad173099fdb089!5m2!4m1!1i2!8m2!3d11.4031517!4d76.7145281!16s%2Fg%2F11qgyxc93d!19sChIJ9ZlPlcO9qDsRibD9mTAXrTk?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Mount Breeze Cottage,,082482 60352,,4.1,85,No,https://www.google.com/maps/place/Mount+Breeze+Cottage/data=!4m10!3m9!1s0x3ba89629df9147a9:0xc0b3765b03cef337!5m2!4m1!1i2!8m2!3d11.4003471!4d76.6954105!16s%2Fg%2F11f_fvmb2j!19sChIJqUeR3ymWqDsRN_POA1t2s8A?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
White Residency/Ooty Biriyani House,,096260 53942,,3.9,300,Unknown,https://www.google.com/maps/place/White+Residency%2FOoty+Biriyani+House/data=!4m10!3m9!1s0x3ba8961becd2bd0b:0xe760eb7d19c034ef!5m2!4m1!1i2!8m2!3d11.3951282!4d76.7180148!16s%2Fg%2F11c0w0rmc9!19sChIJC73S7BuWqDsR7zTAGX3rYOc?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Colonels Inn,,098181 05999,,4.4,305,Unknown,https://www.google.com/maps/place/Colonels+Inn/data=!4m10!3m9!1s0x3ba8bd930e8daa13:0x49f31c512b967912!5m2!4m1!1i2!8m2!3d11.4163691!4d76.7083587!16s%2Fg%2F11bcch55l8!19sChIJE6qNDpO9qDsREnmWK1Ec80k?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
A Ooty Honey Huts,,085085 99799,,4.7,3799,Unknown,https://www.google.com/maps/place/A+Ooty+Honey+Huts/data=!4m10!3m9!1s0x3ba8bdee0cdd5ce5:0xa10b3b4bc9383a32!5m2!4m1!1i2!8m2!3d11.4145885!4d76.7168899!16s%2Fg%2F11c5b4nvlv!19sChIJ5VzdDO69qDsRMjo4yUs7C6E?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Green Mountain Villa,,090870 66488,,4.7,62,Unknown,https://www.google.com/maps/place/Green+Mountain+Villa/data=!4m10!3m9!1s0x3ba8bddfeae1adf3:0xfafb68a97f994af8!5m2!4m1!1i2!8m2!3d11.4138152!4d76.6910525!16s%2Fg%2F11x_cqmx8x!19sChIJ863h6t-9qDsR-EqZf6lo-_o?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
The Earthy Nest by Brown Tree,,093630 36766,,4.3,6,Unknown,https://www.google.com/maps/place/The+Earthy+Nest+by+Brown+Tree/data=!4m10!3m9!1s0x3ba8bd731d5d7f7f:0x51ed1917f32c626a!5m2!4m1!1i2!8m2!3d11.4565194!4d76.6903861!16s%2Fg%2F11zc2sp2zk!19sChIJf39dHXO9qDsRamIs8xcZ7VE?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
HAPPYSTAY Rooms and Cottages,,093807 56062,,3.1,188,Unknown,https://www.google.com/maps/place/HAPPYSTAY+Rooms+and+Cottages/data=!4m10!3m9!1s0x3ba8bdb1febb5fc3:0xa229e793601b77e5!5m2!4m1!1i2!8m2!3d11.413021!4d76.6973333!16s%2Fg%2F11g2xx15wq!19sChIJw1-7_rG9qDsR5XcbYJPnKaI?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Cherry Blossom,,090801 30180,,4.1,231,Unknown,https://www.google.com/maps/place/Cherry+Blossom/data=!4m10!3m9!1s0x3ba8bd5401a35dfd:0xb5629547e29d7dc8!5m2!4m1!1i2!8m2!3d11.4108308!4d76.6978674!16s%2Fg%2F11f5q7x0v4!19sChIJ_V2jAVS9qDsRyH2d4keVYrU?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Silver Dollar Resorts,,097874 97435,,3.9,73,Unknown,https://www.google.com/maps/place/Silver+Dollar+Resorts/data=!4m10!3m9!1s0x3ba895c12fd81361:0x9be3bcc3ba65bf!5m2!4m1!1i2!8m2!3d11.3764038!4d76.7531343!16s%2Fg%2F11c5xfy38_!19sChIJYRPYL8GVqDsRv2W6w7zjmwA?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Natures Retreat Resort Ooty,,078250 51515,,3.7,116,Unknown,https://www.google.com/maps/place/Natures+Retreat+Resort+Ooty/data=!4m10!3m9!1s0x3ba8bd9e48c83289:0x2176ed46a6b88e6f!5m2!4m1!1i2!8m2!3d11.4295186!4d76.6701134!16s%2Fg%2F11stst_44r!19sChIJiTLISJ69qDsRb464pkbtdiE?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
180Mciver,,0423 223 3323,,4.2,1934,No,https://www.google.com/maps/place/180Mciver/data=!4m10!3m9!1s0x3ba894e479c84eef:0xecfe80e25131e6b4!5m2!4m1!1i2!8m2!3d11.3554891!4d76.7948285!16s%2Fg%2F1tcxbmxq!19sChIJ707IeeSUqDsRtOYxUeKA_uw?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Brookevalley Palace Homestay,,082481 23633,,4.7,231,Unknown,https://www.google.com/maps/place/Brookevalley+Palace+Homestay/data=!4m10!3m9!1s0x3ba8953eb5c65db3:0x8c735af7d3b5d969!5m2!4m1!1i2!8m2!3d11.3525767!4d76.8089678!16s%2Fg%2F11f60wypkq!19sChIJs13GtT6VqDsRadm10_dac4w?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
PRAVEEN KUDIL COTTAGE,,094438 51424,,4.5,708,Unknown,https://www.google.com/maps/place/PRAVEEN+KUDIL+COTTAGE/data=!4m10!3m9!1s0x3ba894bffa5cf453:0x4073584c4e35e212!5m2!4m1!1i2!8m2!3d11.3391403!4d76.8053454!16s%2Fg%2F11cs13qs04!19sChIJU_Rc-r-UqDsREuI1TkxYc0A?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Sri Lakshmi Tourist Home (S.L.T.H),,078456 85188,,3.7,285,Unknown,https://www.google.com/maps/place/Sri+Lakshmi+Tourist+Home+%28S.L.T.H%29/data=!4m10!3m9!1s0x3ba894e8e42f4079:0x4679936d4ff39fbb!5m2!4m1!1i2!8m2!3d11.3478146!4d76.7990951!16s%2Fg%2F124yg21zq!19sChIJeUAv5OiUqDsRu5_zT22TeUY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Greenview Rest House - Best Homestay in Ooty,,097877 77780,,4.7,273,Unknown,https://www.google.com/maps/place/Greenview+Rest+House+-+Best+Homestay+in+Ooty/data=!4m10!3m9!1s0x3ba895d5afc08bcd:0x5f790c01c17b8e86!5m2!4m1!1i2!8m2!3d11.345826!4d76.7791188!16s%2Fg%2F11gr64tqhg!19sChIJzYvAr9WVqDsRho57wQEMeV8?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
iClouds Resort,,063692 35199,,4.5,31,Unknown,https://www.google.com/maps/place/iClouds+Resort/data=!4m10!3m9!1s0x3ba895c8f1c5d779:0xcef237ac46e80549!5m2!4m1!1i2!8m2!3d11.3771002!4d76.8168103!16s%2Fg%2F11grc7xhrb!19sChIJedfF8ciVqDsRSQXoRqw38s4?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Thamarai Villa Cottage,,098432 18265,,4.4,25,Unknown,https://www.google.com/maps/place/Thamarai+Villa+Cottage/data=!4m10!3m9!1s0x3ba8952dc460410f:0x5b22f79a1b726dfb!5m2!4m1!1i2!8m2!3d11.3545269!4d76.8005204!16s%2Fg%2F11f65839_r!19sChIJD0FgxC2VqDsR-21yG5r3Ils?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Brooklands Christian Guest Home,,094452 08060,,4.1,110,No,https://www.google.com/maps/place/Brooklands+Christian+Guest+Home/data=!4m10!3m9!1s0x3ba894db9246f5df:0xb3b8503756e6c0e9!5m2!4m1!1i2!8m2!3d11.3537746!4d76.8080001!16s%2Fm%2F02640df!19sChIJ3_VGktuUqDsR6cDmVjdQuLM?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Riga Residency,,0423 223 4405,,3.1,102,Unknown,https://www.google.com/maps/place/Riga+Residency/data=!4m10!3m9!1s0x3ba894efa2fd0d5b:0x20e6bd3d815f19ae!5m2!4m1!1i2!8m2!3d11.3531018!4d76.7863906!16s%2Fg%2F1tdbp9ff!19sChIJWw39ou-UqDsRrhlfgT295iA?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
SKYLARC INN - BEST HOMESTAY IN COONOOR,,097879 67275,,5.0,2,Unknown,https://www.google.com/maps/place/SKYLARC+INN+-+BEST+HOMESTAY+IN+COONOOR/data=!4m10!3m9!1s0x3ba895413c0cc315:0xc4425e429df8457c!5m2!4m1!1i2!8m2!3d11.3514838!4d76.8070217!16s%2Fg%2F11j7dg07ts!19sChIJFcMMPEGVqDsRfEX4nUJeQsQ?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Krish,,093455 29081,,4.6,54,Unknown,https://www.google.com/maps/place/Krish/data=!4m10!3m9!1s0x3ba894c4d33e558f:0x9e7a048b2cb83a09!5m2!4m1!1i2!8m2!3d11.3570619!4d76.8066413!16s%2Fg%2F11h0l0dh8!19sChIJj1U-08SUqDsRCTq4LIsEep4?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Pear Tree Inn Entire Villa Kotagiri,,078670 45212,,4.7,166,Unknown,https://www.google.com/maps/place/Pear+Tree+Inn+Entire+Villa+Kotagiri/data=!4m10!3m9!1s0x3ba8c19fd52b0bad:0x2ac39a20993657d0!5m2!4m1!1i2!8m2!3d11.4294517!4d76.8490939!16s%2Fg%2F11h5r_4qy8!19sChIJrQsr1Z_BqDsR0Fc2mSCawyo?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Valley View - Shola,,095851 33222,,4.8,115,No,https://www.google.com/maps/place/Valley+View+-+Shola/data=!4m10!3m9!1s0x3ba8c1bb6807ad2d:0xac7162216f88de11!5m2!4m1!1i2!8m2!3d11.4338054!4d76.8368139!16s%2Fg%2F11tfhbcs4m!19sChIJLa0HaLvBqDsREd6IbyFicaw?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
O2 Hill Resort,,094437 35153,,4.2,173,Unknown,https://www.google.com/maps/place/O2+Hill+Resort/data=!4m10!3m9!1s0x3ba8c1184bd38bb5:0x3ca524c165fdf109!5m2!4m1!1i2!8m2!3d11.4253722!4d76.8290138!16s%2Fg%2F11smv9b839!19sChIJtYvTSxjBqDsRCfH9ZcEkpTw?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Franc villa holiday home,,095859 78597,,3.8,40,Unknown,https://www.google.com/maps/place/Franc+villa+holiday+home/data=!4m10!3m9!1s0x3ba8c175c920741b:0xa67d5b6c0efcab93!5m2!4m1!1i2!8m2!3d11.4456472!4d76.8544774!16s%2Fg%2F11h1m8xvxr!19sChIJG3QgyXXBqDsRk6v8DmxbfaY?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Lynton Resorts,,073584 86339,,4.9,55,Unknown,https://www.google.com/maps/place/Lynton+Resorts/data=!4m10!3m9!1s0x3ba8c1fe61e2b2cb:0x93515a47a7e72b8a!5m2!4m1!1i2!8m2!3d11.4329775!4d76.8395415!16s%2Fg%2F11yrxlypcz!19sChIJy7LiYf7BqDsRiivnp0daUZM?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Silver Spruce Entire Floor Villa Kotagiri,,078670 45212,,4.6,105,Unknown,https://www.google.com/maps/place/Silver+Spruce+Entire+Floor+Villa+Kotagiri/data=!4m10!3m9!1s0x3ba8c17e513f3ef1:0xc2bd0eff4bafd818!5m2!4m1!1i2!8m2!3d11.4292763!4d76.8492456!16s%2Fg%2F11j2hv07wj!19sChIJ8T4_UX7BqDsRGNivS_8OvcI?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
Golf Dale Holiday Resort Kotagiri,,094430 77830,,4.6,189,Unknown,https://www.google.com/maps/place/Golf+Dale+Holiday+Resort+Kotagiri/data=!4m10!3m9!1s0x3ba8c0157d75badb:0xa4559a94489a7939!5m2!4m1!1i2!8m2!3d11.4259391!4d76.848452!16s%2Fg%2F1tfpn3xx!19sChIJ27p1fRXAqDsROXmaSJSaVaQ?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
FUSCHIA,,070946 36029,,4.8,391,Unknown,https://www.google.com/maps/place/FUSCHIA/data=!4m10!3m9!1s0x3ba8eaa507c7171b:0x8327d6bde5b44dd3!5m2!4m1!1i2!8m2!3d11.4015444!4d76.8412549!16s%2Fg%2F11c1n175lr!19sChIJGxfHB6XqqDsR00205b3WJ4M?authuser=0&hl=en&rclk=1,no matching own-domain result in top results (checked 2x)
